2026-05-13 20:48:52 | INFO     | api.main | [STEP 3] Generate LLM response
2026-05-13 20:48:52 | INFO     | api.main | [LLM ATTEMPT 1/3] Provider: Google Gemini
2026-05-13 20:48:52 | INFO     | api.main | [TOK] Estimated tokens: 112 (limit: 1000000)
2026-05-13 20:48:56 | INFO     | api.main | [OK] Success with Google Gemini (gemini-2.5-flash)
2026-05-13 20:48:56 | INFO     | api.main | [OK] Generated response using gemini-2.5-flash
2026-05-13 20:48:56 | INFO     | api.main | [STEP 4] Save to database
2026-05-13 20:48:56 | INFO     | api.main | [OK] Saved to database
2026-05-13 20:49:18 | INFO     | api.main | [CHAT] Query: who is sandeep give me the short breif ?
2026-05-13 20:49:18 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:49:18 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:49:18 | WARNING  | api.main | [WARN] No relevant documents found above threshold (0.35)
2026-05-13 20:49:18 | INFO     | api.main | [FALLBACK] Trying with expanded top_k...
2026-05-13 20:49:18 | WARNING  | api.main | [WARN] Still no results after expanding search
2026-05-13 20:50:23 | INFO     | api.main | [CHAT] Query: short breif note about sandeep ?
2026-05-13 20:50:23 | INFO     | api.main | ----------------------------------------------------------------------
2026-05-13 20:50:23 | INFO     | api.main | [STEP 1] Retrieve documents
2026-05-13 20:50:23 | WARNING  | api.main | [WARN] No relevant documents found above threshold (0.35)
2026-05-13 20:50:23 | INFO     | api.main | [FALLBACK] Trying with expanded top_k...
2026-05-13 20:50:23 | WARNING  | api.main | [WARN] Still no results after expanding search
2026-05-13 20:52:36 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 20:52:36 | INFO     | api.main | Retention: 15 days
2026-05-13 20:52:36 | INFO     | api.main | ======================================================================
2026-05-13 20:52:36 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 20:52:36 | INFO     | api.main | ======================================================================
2026-05-13 20:52:36 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 20:52:40 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 20:52:40 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 20:52:40 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:52:40 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:52:40 | INFO     | api.main | [OK] Retriever initialized
2026-05-13 20:52:41 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:52:41 | INFO     | api.main | [OK] Loaded 10 chunks from default documents
2026-05-13 20:52:41 | INFO     | api.main | ======================================================================
2026-05-13 20:52:41 | INFO     | api.main | INITIALIZING ALL LLM PROVIDERS
2026-05-13 20:52:41 | INFO     | api.main | ======================================================================
2026-05-13 20:52:41 | INFO     | api.main | [1] Initializing Google Gemini...
2026-05-13 20:52:41 | INFO     | api.main | [OK] Google Gemini ready: gemini-2.5-flash
2026-05-13 20:52:41 | INFO     | api.main | [2] Initializing Groq...
2026-05-13 20:52:41 | INFO     | api.main | [OK] Groq ready: llama-3.1-8b-instant
2026-05-13 20:52:41 | INFO     | api.main | [3] Initializing OpenRouter...
2026-05-13 20:52:42 | INFO     | api.main | [OK] OpenRouter ready: meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:52:42 | INFO     | api.main | [PRIMARY] Primary LLM: gemini-2.5-flash
2026-05-13 20:52:42 | INFO     | api.main | [FALLBACK] Fallback chain: gemini-2.5-flash -> llama-3.1-8b-instant -> meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:52:42 | INFO     | api.main | ======================================================================
2026-05-13 20:57:09 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 20:57:09 | INFO     | api.main | Retention: 15 days
2026-05-13 20:57:09 | INFO     | api.main | ======================================================================
2026-05-13 20:57:09 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 20:57:09 | INFO     | api.main | ======================================================================
2026-05-13 20:57:09 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 20:57:13 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 20:57:13 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 20:57:13 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:57:13 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:57:13 | INFO     | api.main | [OK] Retriever initialized
2026-05-13 20:57:13 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event CollectionGetEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 20:57:14 | INFO     | api.main | [OK] Loaded 10 chunks from default documents
2026-05-13 20:57:14 | INFO     | api.main | ======================================================================
2026-05-13 20:57:14 | INFO     | api.main | INITIALIZING ALL LLM PROVIDERS
2026-05-13 20:57:14 | INFO     | api.main | ======================================================================
2026-05-13 20:57:14 | INFO     | api.main | [1] Initializing Google Gemini...
